PROJECT ID,Program ID,Wagon Number,Instruction,Instruction Sr No,Instruction Value,LOAD_NO,FlightBar,ACCUMULATED TIME
Program 1,1,1,Wait for sec,243,30,101,FB2,18190
Program 1,1,1,Get from,244,6,101,FB2,18202
Program 1,1,1,Put on,245,7,101,FB2,18220
Program 1,1,1,Wait for sec,246,30,101,FB2,18250
Program 1,1,1,Get from,247,7,101,FB2,18262
Program 1,1,1,Put on,248,10,101,FB2,18288
Program 1,1,1,Get from,249,1,102,FB3,18323
Program 1,1,1,Put on,250,2,102,FB3,18341
Program 1,1,1,Get from,251,11,10,FB1,18376
Program 1,1,1,Put on,252,1,10,FB1,18428
Program 1,1,1,Wait for sec,253,587,101,FB2,19015
Program 1,1,1,Get from,254,10,101,FB2,19050
Program 1,1,1,Put on,255,11,101,FB2,19069
Program 1,1,1,Get from,256,2,102,FB3,19104
Program 1,1,1,Put on,257,5,102,FB3,19129
Program 1,1,1,Wait for sec,258,300,102,FB3,19429
Program 1,1,1,Get from,259,5,102,FB3,19441
Program 1,1,1,Put on,260,6,102,FB3,19459
Program 1,1,1,Wait for sec,261,30,102,FB3,19489
Program 1,1,1,Get from,262,6,102,FB3,19501
Program 1,1,1,Put on,263,7,102,FB3,19519
Program 1,1,1,Wait for sec,264,30,102,FB3,19549
Program 1,1,1,Get from,265,7,102,FB3,19561
Program 1,1,1,Put on,266,9,102,FB3,19583
Program 1,1,1,Get from,267,1,103,FB1,19615
Program 1,1,1,Put on,268,2,103,FB1,19633
Program 1,1,1,Get from,269,11,101,FB2,19668
Program 1,1,1,Put on,270,1,101,FB2,19720
Program 1,1,1,Wait for sec,271,592,102,FB3,20313
Program 1,1,1,Get from,272,9,102,FB3,20345
Program 1,1,1,Put on,273,11,102,FB3,20368
Program 1,1,1,Get from,274,2,103,FB1,20403
Program 1,1,1,Put on,275,5,103,FB1,20429
Program 1,1,1,Wait for sec,276,300,103,FB1,20729
Program 1,1,1,Get from,277,5,103,FB1,20741
Program 1,1,1,Put on,278,6,103,FB1,20759
Program 1,1,1,Wait for sec,279,30,103,FB1,20789
Program 1,1,1,Get from,280,6,103,FB1,20801
Program 1,1,1,Put on,281,7,103,FB1,20819
Program 1,1,1,Wait for sec,282,30,103,FB1,20849
Program 1,1,1,Get from,283,7,103,FB1,20861
Program 1,1,1,Put on,284,10,103,FB1,20887
Program 1,1,1,Get from,285,11,102,FB3,20904
Program 1,1,1,Put on,286,1,102,FB3,20956
Program 1,1,1,Wait for sec,287,658,103,FB1,21614
Program 1,1,1,Get from,288,10,103,FB1,21649
Program 1,1,1,Put on,289,11,103,FB1,21667
Program 1,1,1,Wait for sec,290,30,103,FB1,21697
Program 1,1,1,Get from,291,11,103,FB1,21709
Program 1,1,1,Put on,292,1,103,FB1,21761
Program 1,1,1,Get from,293,1,0,FB2,21773
Program 1,1,1,Put on,294,1,0,FB2,21785
Program 1,1,1,Get from,295,1,0,FB3,21797
Program 1,1,1,Put on,296,1,0,FB3,21809
Program 1,1,1,Wait for sec,297,192,0,FB1,22001
Program 1,1,1,Get from,298,1,0,FB1,22013
Program 1,1,1,Put on,299,1,0,FB1,22025
